,Name,Year,Team,ERA,WHIP,W,L,SV,H,BSV,G,GS,CG(SHO),QS,TBF,NP,IP,R,ER,H,2B,3B,HR,SO,BB,IBB,HB,WP,BK
0,Kang Dong-yeon KBO League Pitching Stats,2022,NC,10.38,2.19,0,0,0,0,0,6,0,0 (0),0,44,157,8 ⅔,10,10,16,5,1,2,3,3,0,1,1,0
1,Kang Dong-yeon KBO League Pitching Stats,2021,NC,7.83,1.70,3,2,0,1,0,12,3,0 (0),0,109,435,23,21,20,25,4,1,4,14,14,0,0,3,0
2,Kang Dong-yeon KBO League Pitching Stats,2020,NC,6.00,1.58,1,2,0,1,1,22,0,0 (0),0,106,410,24,17,16,27,6,0,3,17,11,1,1,0,0
3,Kang Dong-yeon KBO League Pitching Stats,2019,Doosan,5.40,1.60,0,0,0,0,0,5,0,0 (0),0,22,89,5,3,3,8,2,0,2,3,0,0,0,0,0
4,Kang Dong-yeon KBO League Pitching Stats,2018,Doosan,5.40,1.29,1,0,0,0,1,8,0,0 (0),0,49,193,11 ⅔,8,7,10,2,0,2,5,5,0,0,0,0
5,Kang Dong-yeon KBO League Pitching Stats,2016,Doosan,8.22,1.96,0,0,0,0,0,11,0,0 (0),0,36,132,7 ⅔,8,7,9,3,0,2,6,6,0,0,0,0
6,Kang Dong-yeon KBO League Pitching Stats,2014,Doosan,27.00,5.00,0,0,0,0,0,1,0,0 (0),0,8,33,1,3,3,5,2,0,1,3,0,0,0,0,0
7,Kang Dong-yeon KBO League Pitching Stats,2013,Doosan,0.00,0.50,0,0,0,0,,1,,0 (0),,7,,2,1,0,1,,,0,1,0,,0,,
